index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,DJ0,Open Air / Festival0,name,byArtist,url,id_x,time,track_number,mashup,mashup_name,beatport0,apple0,spotify0,video0,soundcloud0,apple1,soundcloud1,apple2,traxsource0,spotify1,soundcloud2,beatport1,spotify2,apple3,beatport2,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
20,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell ft. Jake Reese - Mad World (Quintino Remix),Hardwell,/track/pptx5u5/hardwell-mad-world-quintino-remix/index.html,280392,,,True,MAKJ & Lil Jon - Let's Get F*cked Up,7442944,1072061787,1sHCc7sGekCV5dXDG51oaP,,240341512,,238510631,,,,,,,,,0.742,0.89,5.0,-3.911,1.0,0.111,0.00975,2.33e-05,0.085,0.0804,128.008,1sHCc7sGekCV5dXDG51oaP,250218.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
21,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Garmiani - Bomb A Drop,Garmiani,/track/1xrlgp5p/garmiani-bomb-a-drop/index.html,289358,,,True,Hardwell ft. Jake Reese - Mad World (Quintino Remix),8109754,1439653628,01ipMjHJNu9srlm1as1p6I,,246280142,,242580321,,,2OccinWNEPIEmZPkqnLPSR,,7537320,5HJqLDDjgdhON8LL9U3Oa3,,,0.675,0.992,7.0,-0.533,0.0,0.0605,0.0022,0.221,0.387,0.483,128.034,01ipMjHJNu9srlm1as1p6I,158555.0,4.0,"big room,deep big room,edm,electro house"
22,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,TJR ft. Savage - We Wanna Party,TJR,/track/1r72dlux/tjr-we-wanna-party/index.html,293191,,,True,Garmiani - Bomb A Drop,7641756,1337231448,2ea76RAWZqeJLG7mMuNLkg,,247492485,1121146612,272887754,,5288881,,,,,,,0.768,0.952,0.0,-2.191,1.0,0.151,0.0101,0.000121,0.0901,0.67,128.006,2ea76RAWZqeJLG7mMuNLkg,167813.0,4.0,"big room,deep big room,edm,electro house,melbourne bounce,moombahton,uk garage"
23,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,DJ Snake - Propaganda (Nom De Strip & TJR Remix),DJ Snake,/track/j39w4r5/dj-snake-propaganda-nom-de-strip-tjr-remix/index.html,290892, 20:30 ,w/,False,,,1083780852,7rfw9h3H9yx23jSQzySQfx,,,,,,,,,,,,,0.599,0.972,5.0,-3.173,1.0,0.0478,9.46e-05,0.911,0.636,0.337,129.998,7rfw9h3H9yx23jSQzySQfx,229480.0,4.0,"dance pop,edm,electronic trap,pop,pop rap"
24,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Chardy & Kronic - S.W.A.T. Team (Everybody Fucking *Beep* Jump Acappella),Chardy & Kronic,/track/w2f45d5/chardy-kronic-s.w.a.t.-team-everybody-fucking-beep-jump-acappella/index.html,145648, 21:10 ,w/,False,,,,,pKoyeB1V8Ow,113750971,,,,,,,,,,,,,,,,,,,,,,,,,
25,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Dr. Dre ft. Snoop Dogg - Still D.R.E. (W&W Festival Mix),Dr. Dre,/track/y27trmx/dr.-dre-still-d.r.e.-wandw-bootleg/index.html,287547, 21:55 ,08,False,,,,,g8-vVxxRhJo,283089276,,268261462,,,,,,,,,,,,,,,,,,,,,,,
26,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & Thomas Newson - 8Fifty,Hardwell & Thomas Newson,/track/2p18d7jx/hardwell-thomas-newson-8fifty/index.html,310399, 24:03 ,09,False,,8008460,1123560977,51AuPzEovX1ZPRzhscrNdX,,268861737,,,,,,,,,,,0.66,0.981,5.0,-1.493,0.0,0.0677,0.0311,0.00117,0.312,0.256,127.971,51AuPzEovX1ZPRzhscrNdX,183750.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
27,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell & W&W ft. Fatman Scoop - Don't Stop The Madness (Acappella),Hardwell & W&W,/track/2wfswfxf/hardwell-wandw-dont-stop-the-madness-acappella/index.html,246553, 24:17 ,w/,False,,,,,HwQ_iGvnOgs,182650515,,,,,,,,,,,,,,,,,,,,,,,,,
28,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,NWYR - Voltage,NWYR,/track/1s6jdckx/nwyr-voltage/index.html,348051, 26:11 ,w/,False,,9841272,1245792686,2TmoOuYeG3A6gXVfV9I8la,,329012190,,,,,,,10079968,,,,0.302,0.893,7.0,-4.226,0.0,0.103,0.000915,0.461,0.512,0.191,131.941,2TmoOuYeG3A6gXVfV9I8la,183182.0,4.0,"big room,deep big room,edm,progressive house,trance"
29,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Porter Robinson & Mat Zo vs. Daft Punk - Easy vs. One More Time (Tristan Garner Unfinished Bootleg),Porter Robinson & Mat Zo vs. Daft Punk,/track/2nwbvsmf/porter-robinson-mat-zo-daft-punk-easy-vs.-one-more-time-tristan-garner-unfinished-bootleg/index.html,145233, 26:55 ,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Daft Punk - One More Time,Daft Punk,/track/j4rvgx/daft-punk-one-more-time/index.html,1847,,,True,Porter Robinson & Mat Zo vs. Daft Punk - Easy vs. One More Time (Tristan Garner Unfinished Bootleg),6014288,697195462,0DiWol3AO6WpXZgp0goxAV,,199428706,697402070,,697401641,,5F0fiSkDxZL5V3SlnTNhKh,,6014287,2Uy6EhQXAYkXA6MohPgjpV,298430162,,0.611,0.697,2.0,-8.618,1.0,0.133,0.0193,0.0,0.332,0.476,122.752,0DiWol3AO6WpXZgp0goxAV,320357.0,4.0,"electro,filter house"
31,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Porter Robinson & Mat Zo - Easy,Porter Robinson & Mat Zo,/track/234vjwkf/porter-robinson-mat-zo-easy/index.html,103785,,,True,Daft Punk - One More Time,4962600,728931394,3U9ayxeAZCcz5jwcGBD2uH,,72082782,641844802,,641879523,1379731,2072jsE08Lh2NZ79lfdD9e,,4467406,5OSJZlfxZwR5jreQSy6r2O,,4024058,0.547,0.811,2.0,-6.422,1.0,0.0477,0.00144,0.000225,0.338,0.337,127.993,3U9ayxeAZCcz5jwcGBD2uH,398300.0,4.0,"big room,edm,electro house,progressive house,progressive trance,trance,uplifting trance"
32,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Tom & Jame - Rise (Like A Thousand Suns),Tom & Jame,/track/v9kjcjf/tom-jame-rise-like-a-thousand-suns/index.html,311381, 28:53 ,w/,False,,8086484,1131140378,2sn1E8WuwRhhCft3YDHdhh,,270728229,1121146657,,,,,,,,,,0.568,0.942,4.0,-3.085,0.0,0.0651,0.00437,0.0369,0.382,0.0825,127.993,2sn1E8WuwRhhCft3YDHdhh,200085.0,4.0,"big room,deep big room,dutch edm,edm,electro house,pop edm,progressive electro house,sky room"
33,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Hardwell ft. Jake Reese - Run Wild,Hardwell,/track/2m48m5kp/hardwell-run-wild/index.html,263806, 29:38 ,11,False,,7649217,1086548148,25dl9vcAJ9F6D6K35I3Nbw,,247658530,1438868861,247658443,,5288976,,,,,,,0.486,0.906,4.0,-4.634,0.0,0.055,0.000767,0.000544,0.253,0.118,130.095,25dl9vcAJ9F6D6K35I3Nbw,245538.0,4.0,"big room,dance pop,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,tropical house"
34,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Benny Benassi vs. Olly James & R3SPAWN ft. Bassjackers & Afrojack - Satisfaction Alarm (Hardwell UMF 2016 Mashup),Benny Benassi vs. Olly James & R3SPAWN,/track/w7c0ww5/benny-benassi-olly-james-r3spawn-satisfaction-alarm-hardwell-umf-2016-mashup/index.html,311216, 34:15 ,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Benny Benassi pres. The Biz - Satisfaction,Benny Benassi pres. The Biz,/track/9m3kgf/benny-benassi-the-biz-satisfaction/index.html,2029,,,True,Benny Benassi vs. Olly James & R3SPAWN ft. Bassjackers & Afrojack - Satisfaction Alarm (Hardwell UMF 2016 Mashup),1168953,19569351,5JZnjM9ijpit0d5zjT8MM7,,,,,,4151915,7g2BBjUQWJDdRohU8mOOZk,,,6gZYYNkviEukDNRVwxRPEF,,,0.802,0.725,11.0,-3.392,1.0,0.102,0.165,0.0984,0.0782,0.347,129.984,5JZnjM9ijpit0d5zjT8MM7,285413.0,4.0,"disco house,edm,electro house"
36,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Bassjackers & Afrojack - What We Live For (Let Me See Your Hands Acappella),Bassjackers & Afrojack,/track/2bt4b635/bassjackers-afrojack-what-we-live-for-let-me-see-your-hands-acappella/index.html,300284,,,True,Benny Benassi pres. The Biz - Satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Olly James & R3SPAWN - Alarm,Olly James & R3SPAWN,/track/v9kcccf/olly-james-r3spawn-alarm/index.html,311217,,,True,Bassjackers & Afrojack - What We Live For (Let Me See Your Hands Acappella),8102734,1131607904,2Y5dwWThle0zPfIjSUesf2,,270835707,1184243154,,,5288113,,,,,,,0.539,0.984,0.0,-4.675,1.0,0.289,0.0015,0.197,0.124,0.179,128.037,2Y5dwWThle0zPfIjSUesf2,226902.0,4.0,"big room,deep big room,edm,electro house,progressive electro house,sky room"
38,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Pitchback vs. Linkin Park vs. Alesso vs. David Guetta & GLOWINTHEDARK ft. Harrison - Cosmic Dark vs. In The End (Hardwell UMF 2016 Mashup),Pitchback vs. Linkin Park vs. Alesso vs. David Guetta & GLOWINTHEDARK ft. Harrison,/track/h643k15/pitchback-linkin-park-alesso-david-guetta-glowinthedark-ft.-harrison-cosmic-dark-vs.-in-the-end-hardwell-umf-2016-mashup/index.html,311764, 37:14 ,13,True,,,,,m1ssAFzaCsU,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Linkin Park - In The End,Linkin Park,/track/7tlh3gx/linkin-park-in-the-end/index.html,74423,,,True,Pitchback vs. Linkin Park vs. Alesso vs. David Guetta & GLOWINTHEDARK ft. Harrison - Cosmic Dark vs. In The End (Hardwell UMF 2016 Mashup),,,60a0Rd6pjrkxjPbaKzXjfq,,,,,,,,,,,,,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,60a0Rd6pjrkxjPbaKzXjfq,216880.0,4.0,"alternative metal,nu metal,post-grunge,rap metal"
40,1ldcw1rk,"Hardwell @ Mainstage, Ultra Music Festival Miami, United States 2016-03-19","Sat, Mar 19 2016",346660,273,all,27,Big Room,Hardwell,Ultra Music Festival Miami,Alesso - Raise Your Head (Acappella),Alesso,/track/1665465/alesso-raise-your-head-acappella/index.html,81528,,,True,Linkin Park - In The End,,,,ZG1AT6tylA4,27402052,,,,,,,,,,,,,,,,,,,,,,,,,
