index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,genre1,genre2,genre3,DJ0,DJ1,Radio Show0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,soundcloud0,apple1,spotify1,traxsource0,soundcloud1,traxsource1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
30,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Habstrakt - All Night,Habstrakt,/track/20qmxd85/habstrakt-all-night/index.html,478560, 1:39:57 ,31,False,11670818,1454335114,5k7c38j8T7JMWqtLtKt83T,590586663,,,,,,0.776,0.753,11.0,-5.455,0.0,0.437,0.0152,0.0105,0.0585,0.509,126.096,5k7c38j8T7JMWqtLtKt83T,205065.0,4.0,"bass house,dubstep,edm,electro house,electronic trap,filthstep"
31,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Habstrakt - De La Street,Habstrakt,/track/2b1gsjqf/habstrakt-de-la-street/index.html,505933, 1:41:00 ,32,False,,1468407606,2787InRFVF74qsf075I4iw,643274802,,,6411771,,,0.777,0.98,1.0,-4.403,1.0,0.314,0.00414,0.213,0.362,0.52,125.985,2787InRFVF74qsf075I4iw,192649.0,4.0,"bass house,dubstep,edm,electro house,electronic trap,filthstep"
32,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Aazar & GODAMN - Big Beat,Aazar & GODAMN,/track/1j05fzuf/aazar-godamn-big-beat/index.html,545309, 1:43:29 ,33,False,12908196,1491060134,22FyGO5Q1UObzdVCSlguQo,744487270,,,,,,0.745,0.947,7.0,-6.128,1.0,0.132,0.00496,0.787,0.34,0.358,127.974,22FyGO5Q1UObzdVCSlguQo,191758.0,4.0,electronic trap
33,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Martin Ikin - No No,Martin Ikin,/track/1gzv7cj5/martin-ikin-no-no/index.html,460864, 1:46:03 ,34,False,11374282,1120022126,1xzTbkfpqZXV4vW7Li8NSC,557003619,1445719418,0x5ReG7WBJpo8gJGny8snN,2431451,,5903341,0.777,0.582,5.0,-8.848,0.0,0.0506,0.0114,0.725,0.182,0.35,123.002,1xzTbkfpqZXV4vW7Li8NSC,399622.0,4.0,"bass house,deep groove house,deep house,disco house,house"
34,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Hooders & Max Mash - Name It,Hooders & Max Mash,/track/tp73fpf/hooders-max-mash-name-it/index.html,555641, 1:47:50 ,35,False,13109684,1497876872,5Bxxltczsg5Hwb1n4cGtSb,759434752,,,7079589,,,0.878,0.788,5.0,-7.115,0.0,0.256,0.0204,0.808,0.0904,0.378,127.034,5Bxxltczsg5Hwb1n4cGtSb,219213.0,4.0,
35,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,,,,, 1:49:08 ,36,False,,,,,,,,,,,,,,,,,,,,,,,,
36,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,KEELD - Bourlingue,KEELD,/track/1f6lnzux/keeld-bourlingue/index.html,539271, 1:50:40 ,37,False,12921882,1490638000,5gLyXgsZjjxYAlQzSGMDGm,726511936,,,6940432,,,0.803,0.981,6.0,-5.643,1.0,0.106,0.00691,0.442,0.0644,0.343,125.992,5gLyXgsZjjxYAlQzSGMDGm,281905.0,4.0,bass house
37,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,,,,, 1:52:50 ,38,False,,,,,,,,,,,,,,,,,,,,,,,,
38,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Zomboy - Lone Wolf (Tony Romera Remix),Zomboy,/track/2dvjyf4p/zomboy-lone-wolf-tony-romera-remix/index.html,528122, 1:53:40 ,39,False,12639431,1482642352,4mHnJ0STzxn6BBFGuzr6Ze,694387312,,,,,,0.737,0.931,1.0,-3.384,1.0,0.175,0.00021,0.159,0.134,0.248,130.025,4mHnJ0STzxn6BBFGuzr6Ze,193846.0,4.0,"brostep,dubstep,edm,electro house,electronic trap,filthstep,glitch"
39,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,HYPRESSION - I Just Wanna,HYPRESSION,/track/24gjq1sp/hypression-i-just-wanna/index.html,501706, 1:55:10 ,40,False,12050202,1465825585,7yGAT2u1V42HmUIclbTawf,640102608,,,6363186,,,0.763,0.948,5.0,-5.16,0.0,0.0521,0.00155,0.566,0.364,0.0399,127.999,7yGAT2u1V42HmUIclbTawf,251250.0,4.0,
40,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Dombresky & Noizu - Rave Alarm,Dombresky & Noizu,/track/16m0s8ux/dombresky-noizu-rave-alarm/index.html,440519, 1:56:40 ,41,False,10961547,1432263004,1wOvNC0xGchNUO2qZVcbPT,499585620,,,5611870,,,0.751,0.797,1.0,-4.421,1.0,0.0592,0.014,0.675,0.0711,0.653,125.009,1wOvNC0xGchNUO2qZVcbPT,279360.0,4.0,"bass house,deep groove house,edm,electro house,house,progressive house"
41,2l5u0mu9,Seven Lions & Habstrakt - Night Owl Radio 245 2020-04-24,"Fri, Apr 24 2020",1111,2,39,42,Dubstep,Trap,House,Bassline / Garage / Grime,Seven Lions,Habstrakt,Night Owl Radio,Alex Gaudino ft. Crystal Waters - Destination Calabria (ASDEK Remix),Alex Gaudino,/track/1ms3lhpx/alex-gaudino-destination-calabria-asdek-remix/index.html,569891, 1:58:12 ,42,False,,,,,,,,,,,,,,,,,,,,,,,,
